age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,__pair_id,__orig_row
34.0, Private,167497.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,7688.0,0.0,50.0, United-States, >50K,9,27192
53.0, Private,193720.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,1977.0,40.0, United-States, >50K,147,9378
28.0, Private,82531.0, Some-college,10.0, Never-married, Other-service, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K,587,7738
57.0, Self-emp-not-inc,123778.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,48.0, United-States, <=50K,851,12226
42.0, Private,386175.0, Some-college,10.0, Divorced, Sales, Not-in-family, White, Male,0.0,0.0,50.0, United-States, >50K,256,32004
43.0, Self-emp-inc,33729.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States, >50K,355,29840
35.0, Private,30916.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,317,10870
36.0, Private,143123.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,138,31254
42.0, Private,182302.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,501,26557
42.0, Private,193626.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,53.0, United-States, <=50K,764,2120
41.0, Private,125831.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,2051.0,60.0, United-States, <=50K,939,721
30.0, Private,174789.0, Assoc-acdm,12.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,1848.0,50.0, United-States, >50K,485,4784
18.0, Private,280298.0, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,24.0, United-States, <=50K,531,2656
36.0, Private,126954.0, HS-grad,9.0, Divorced, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,643,25415
53.0, Local-gov,204447.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,43.0, United-States, >50K,260,12568
45.0, Private,188386.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,1628.0,45.0, United-States, <=50K,568,1927
34.0, Private,554206.0, HS-grad,9.0, Separated, Transport-moving, Not-in-family, Black, Male,0.0,0.0,20.0, United-States, <=50K,684,22860
32.0, Private,176992.0, 10th,6.0, Never-married, Craft-repair, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K,777,27366
37.0, Private,169426.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States, >50K,116,27037
36.0, Private,68273.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,264,24065
57.0, Private,47857.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,358,27724
74.0, Self-emp-not-inc,199136.0, Bachelors,13.0, Widowed, Craft-repair, Not-in-family, White, Male,15831.0,0.0,8.0, Germany, >50K,472,32341
31.0, Private,342730.0, Assoc-acdm,12.0, Separated, Transport-moving, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K,751,18804
36.0, Private,188972.0, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,940,29499
52.0, Private,147629.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,60.0, United-States, >50K,74,2580
27.0, Private,90692.0, Assoc-voc,11.0, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, Philippines, <=50K,978,23832
37.0, Private,109633.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,16.0, United-States, >50K,228,31361
46.0, Private,192779.0, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,45.0, United-States, >50K,379,16012
30.0, Private,143526.0, Bachelors,13.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K,695,31339
54.0, Private,182314.0, Doctorate,16.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,1977.0,50.0, United-States, >50K,230,25456
30.0, Private,299507.0, Assoc-acdm,12.0, Separated, Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K,496,7425
54.0, Private,206964.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,53,4584
37.0, Private,184964.0, Masters,14.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,45.0, United-States, >50K,13,13874
36.0, Private,109133.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,665,29102
38.0, Private,207202.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,48.0, United-States, >50K,38,4940
46.0, Local-gov,209057.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,8,28523
58.0, Self-emp-not-inc,450544.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,144,20484
34.0, Private,82623.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,20.0, United-States, <=50K,772,4392
49.0, Private,225124.0, HS-grad,9.0, Widowed, Machine-op-inspct, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K,560,7524
34.0, Private,581071.0, HS-grad,9.0, Separated, Adm-clerical, Not-in-family, White, Male,0.0,0.0,48.0, United-States, >50K,487,11884
23.0, Local-gov,177265.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,45.0, United-States, <=50K,611,20921
