age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,__pair_id,__orig_row
31.0, Private,344200.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,9,27447
49.0, Federal-gov,213668.0, Masters,14.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,56.0, United-States, >50K,147,2529
72.0, ?,28929.0, 11th,7.0, Widowed, ?, Not-in-family, White, Female,0.0,0.0,24.0, United-States, <=50K,587,834
28.0, Private,190911.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,851,17487
34.0, Self-emp-not-inc,190290.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,256,682
40.0, Private,179717.0, Bachelors,13.0, Divorced, Sales, Not-in-family, White, Male,0.0,1564.0,60.0, United-States, >50K,355,4810
31.0, Self-emp-not-inc,108468.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,60.0, United-States, >50K,317,18132
40.0, Federal-gov,330174.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688.0,0.0,40.0, United-States, >50K,138,31148
32.0, Private,163530.0, HS-grad,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States, <=50K,501,8155
40.0, Private,134026.0, 11th,7.0, Never-married, Other-service, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K,764,20501
23.0, Private,122272.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,20.0, United-States, <=50K,939,32160
53.0, Local-gov,283602.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024.0,0.0,40.0, United-States, >50K,485,22708
17.0, Private,183110.0, 11th,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,16.0, United-States, <=50K,531,28754
23.0, Private,285004.0, Bachelors,13.0, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0.0,0.0,50.0, Taiwan, <=50K,643,4108
36.0, Private,659504.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,45.0, United-States, >50K,260,18142
72.0, ?,237229.0, Assoc-voc,11.0, Widowed, ?, Not-in-family, White, Female,0.0,0.0,30.0, United-States, <=50K,568,14860
