age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,__pair_id,__orig_row
51.0, ?,163998.0, HS-grad,9.0, Married-spouse-absent, ?, Not-in-family, White, Male,0.0,0.0,20.0, United-States, >50K,9,3387
55.0, Private,156430.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,147,30217
35.0, Private,337286.0, Masters,14.0, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States, <=50K,587,6871
33.0, Private,157747.0, Assoc-acdm,12.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,851,7823
40.0, Private,123306.0, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,256,16684
39.0, Private,272950.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States, >50K,355,7456
47.0, Private,168232.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,1887.0,45.0, United-States, >50K,317,16669
59.0, Federal-gov,293971.0, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,138,32076
50.0, Private,228057.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,501,17222
51.0, Private,153486.0, Some-college,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,764,7427
22.0, ?,283510.0, HS-grad,9.0, Never-married, ?, Unmarried, Black, Male,0.0,0.0,45.0, United-States, <=50K,939,15292
43.0, Private,341358.0, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,485,31748
52.0, Private,137428.0, HS-grad,9.0, Divorced, Transport-moving, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K,531,16902
48.0, Federal-gov,328606.0, HS-grad,9.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,643,31017
47.0, Private,115613.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,260,20834
42.0, Private,103932.0, Assoc-voc,11.0, Divorced, Prof-specialty, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K,568,15226
25.0, Private,237865.0, Some-college,10.0, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,42.0, United-States, <=50K,684,18515
46.0, Private,192208.0, 10th,6.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K,777,3374
45.0, Private,198223.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,1902.0,45.0, United-States, >50K,116,11107
41.0, Federal-gov,371382.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,40.0, United-States, >50K,264,15998
45.0, Local-gov,304973.0, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,78.0, United-States, >50K,358,15384
38.0, Local-gov,194630.0, Bachelors,13.0, Never-married, Protective-serv, Not-in-family, White, Female,4787.0,0.0,43.0, United-States, >50K,472,25751
60.0, Private,160625.0, Some-college,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,47.0, United-States, <=50K,751,22856
34.0, Private,185408.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,940,19779
