age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,__pair_id,__orig_row
51.0, Private,230858.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,1977.0,60.0, United-States, >50K,9,24384
54.0, Private,172281.0, Masters,14.0, Divorced, Tech-support, Not-in-family, White, Male,0.0,0.0,40.0, United-States, >50K,147,28139
73.0, Self-emp-not-inc,190078.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,35.0, United-States, <=50K,587,11506
21.0, Private,209483.0, Some-college,10.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,20.0, United-States, <=50K,851,5237
70.0, Self-emp-inc,247383.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,256,23552
48.0, Private,276664.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,1902.0,50.0, United-States, >50K,355,18183
39.0, Self-emp-not-inc,52870.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,317,10189
26.0, Private,31290.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States, >50K,138,3122
34.0, Private,184147.0, HS-grad,9.0, Separated, Sales, Unmarried, Black, Female,0.0,0.0,20.0, United-States, <=50K,501,23699
27.0, ?,190650.0, Bachelors,13.0, Never-married, ?, Unmarried, Asian-Pac-Islander, Male,0.0,0.0,25.0, Philippines, <=50K,764,20825
41.0, Private,102085.0, HS-grad,9.0, Never-married, Machine-op-inspct, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K,939,23547
54.0, Private,154949.0, 11th,7.0, Married-civ-spouse, Other-service, Wife, Black, Female,0.0,0.0,40.0, United-States, >50K,485,30936
24.0, Private,83141.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,531,16526
46.0, Federal-gov,199725.0, Assoc-voc,11.0, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,60.0, United-States, <=50K,643,28648
45.0, Private,289230.0, Bachelors,13.0, Divorced, Prof-specialty, Unmarried, White, Female,0.0,0.0,48.0, United-States, >50K,260,11866
48.0, Private,199763.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,8.0, United-States, <=50K,568,6847
29.0, Private,334221.0, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,18.0, United-States, <=50K,684,12738
25.0, Private,111675.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,43.0, United-States, <=50K,777,12885
48.0, Private,125892.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,116,15015
46.0, Private,368561.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,55.0, United-States, >50K,264,24536
49.0, Private,133969.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0.0,0.0,50.0, United-States, >50K,358,20193
58.0, Private,104333.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,472,20467
52.0, Private,189728.0, HS-grad,9.0, Separated, Priv-house-serv, Not-in-family, White, Female,0.0,0.0,50.0, United-States, <=50K,751,11180
37.0, Private,224541.0, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,940,22444
70.0, Self-emp-not-inc,155141.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,2377.0,12.0, United-States, >50K,74,9676
32.0, Private,171116.0, HS-grad,9.0, Divorced, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K,978,11244
54.0, Private,115284.0, Bachelors,13.0, Divorced, Exec-managerial, Unmarried, White, Male,0.0,0.0,45.0, United-States, >50K,228,23589
30.0, Private,129707.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,1848.0,40.0, United-States, >50K,379,27843
31.0, Private,111883.0, HS-grad,9.0, Never-married, Craft-repair, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K,695,27529
33.0, Private,111363.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,230,352
27.0, Private,149624.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,30.0, United-States, <=50K,496,13611
50.0, Self-emp-inc,156623.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,7688.0,0.0,50.0, Philippines, >50K,53,4055
39.0, Private,198841.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688.0,0.0,45.0, United-States, >50K,13,31434
49.0, Private,36032.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, Black, Female,0.0,0.0,40.0, United-States, <=50K,665,3019
59.0, Self-emp-inc,31359.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024.0,0.0,80.0, United-States, >50K,38,17286
34.0, Private,193036.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,40.0, United-States, >50K,8,2541
53.0, Private,177727.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,144,7648
28.0, Private,156300.0, Masters,14.0, Never-married, Exec-managerial, Not-in-family, Black, Female,0.0,0.0,45.0, United-States, <=50K,772,28547
62.0, ?,123612.0, Bachelors,13.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,4.0, United-States, <=50K,560,13074
30.0, Self-emp-inc,77689.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,7688.0,0.0,50.0, United-States, >50K,487,29636
42.0, ?,167678.0, 11th,7.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,22.0, Ecuador, <=50K,611,15580
43.0, Private,164693.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K,898,19361
50.0, Self-emp-inc,123429.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, Italy, >50K,396,16699
53.0, Private,47396.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,239,13786
45.0, Private,257609.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,259,30342
45.0, Federal-gov,168232.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,55.0, United-States, >50K,474,18998
36.0, State-gov,110964.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,1672.0,38.0, United-States, <=50K,698,26310
54.0, Private,146834.0, 10th,6.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K,769,24371
26.0, Private,215384.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,1974.0,55.0, United-States, <=50K,909,16660
30.0, Private,487330.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,30.0, United-States, <=50K,688,30207
25.0, Private,124590.0, HS-grad,9.0, Never-married, Exec-managerial, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K,976,8720
34.0, Private,345705.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,1977.0,50.0, United-States, >50K,72,23756
45.0, Self-emp-not-inc,40690.0, Some-college,10.0, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,75.0, United-States, <=50K,747,12700
