age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,__pair_id,__orig_row
54.0, Private,103024.0, HS-grad,9.0, Divorced, Tech-support, Not-in-family, White, Male,0.0,0.0,42.0, United-States, >50K,9,29430
39.0, Self-emp-inc,543042.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,5178.0,0.0,50.0, United-States, >50K,147,17436
23.0, Private,146499.0, HS-grad,9.0, Separated, Machine-op-inspct, Unmarried, White, Female,0.0,0.0,48.0, United-States, <=50K,587,27348
45.0, Private,363087.0, HS-grad,9.0, Separated, Machine-op-inspct, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K,851,9696
43.0, State-gov,41834.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,38.0, United-States, >50K,256,9506
52.0, Private,127315.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,355,14774
36.0, Self-emp-not-inc,67728.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,317,25852
45.0, Self-emp-inc,34091.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,38.0, United-States, >50K,138,7207
50.0, Private,113176.0, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,501,1402
33.0, Private,168981.0, 1st-4th,2.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,24.0, United-States, <=50K,764,28218
23.0, Private,162282.0, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,25.0, United-States, <=50K,939,7415
57.0, Self-emp-not-inc,152030.0, Some-college,10.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,25.0, United-States, >50K,485,24614
31.0, Private,70568.0, 1st-4th,2.0, Never-married, Other-service, Other-relative, White, Female,0.0,0.0,25.0, El-Salvador, <=50K,531,13759
58.0, Private,41374.0, HS-grad,9.0, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, <=50K,643,22902
47.0, Private,34248.0, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,260,26365
28.0, Self-emp-inc,146042.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K,568,18398
33.0, Private,309350.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,684,16157
32.0, Private,252257.0, Assoc-acdm,12.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,45.0, United-States, <=50K,777,22304
40.0, Private,103395.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States, >50K,116,1585
28.0, Private,303954.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,1848.0,42.0, United-States, >50K,264,2048
45.0, Private,242391.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,358,2167
30.0, Private,154568.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,36.0, Vietnam, >50K,472,27214
23.0, Private,120172.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,751,1976
27.0, Private,329426.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K,940,9762
45.0, Federal-gov,171335.0, Masters,14.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,74,11327
24.0, Private,275884.0, HS-grad,9.0, Separated, Other-service, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K,978,29961
59.0, Private,98361.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,228,15390
